Package, Version, License(s), Default-in-image, Cumulus-patched, Cumulus-owned
gettext-base, 0.21-12, GPL;LGPL;GFDL, 0, 0, 0
git, 2.39.5-0+deb12u2, GPL-2(*);BSD-3-clause(reftable/* t/t0032-reftable-unittest.sh);Zlib(compat/zlib-uncompress2.c);LGPL-2.1+(xdiff/*);EDL-1.0(xdiff/xhistogram.c);GPL-2+(ewah/*);Expat(sha1dc/*);GPL-2+(gitk-git/*);GPL-2(gitk-git/po/bg.po);GPL-2+(git-gui/*);GPL-2(git-gui/po/bg.po git-gui/po/de.po git-gui/po/fr.po git-gui/po/glossary/*);GPL-2+(git-gui/po/glossary/el.po git-gui/po/glossary/pt_br.po);GPL-2+(gitweb/static/js/*);Expat(git-p4);GPL-2+(git-svn.perl);GPL-2+(imap-send.c);GPL-2+(perl/Git.pm);GPL-1+ or Artistic-1(perl/private-Error.pm);GPL-2+(kwset.c kwset.h);Expat(khash.h);GPL-2+(trace.c);GPL-2+(sh-i18n--envsubst.c);GPL-2+(t/test-lib.sh);GPL-2+(t/test-lib-github-workflow-markup.sh t/test-lib-junit.sh);ISC(compat/inet_ntop.c compat/inet_pton.c);GPL-2+(compat/poll/poll.c compat/poll/poll.h);mingw-runtime(compat/vcbuild/include/sys/utime.h);Boost(compat/nedmalloc/*);dlmalloc(compat/nedmalloc/malloc.c.h);LGPL-2.1+(compat/regex/*);LGPL-2.1+(compat/obstack.c compat/obstack.h);Apache-2.0(contrib/persistent-https/*);GPL-2+(contrib/credential/gnome-keyring/git-credential-gnome-keyring.c);GPL-2+(contrib/hg-to-git/hg-to-git.py);GPL-2+(contrib/mw-to-git/git-*.perl contrib/mw-to-git/t/t*);GPL-2(debian/*), 0, 0, 0
git-man, 2.39.5-0+deb12u2, GPL-2(*);BSD-3-clause(reftable/* t/t0032-reftable-unittest.sh);Zlib(compat/zlib-uncompress2.c);LGPL-2.1+(xdiff/*);EDL-1.0(xdiff/xhistogram.c);GPL-2+(ewah/*);Expat(sha1dc/*);GPL-2+(gitk-git/*);GPL-2(gitk-git/po/bg.po);GPL-2+(git-gui/*);GPL-2(git-gui/po/bg.po git-gui/po/de.po git-gui/po/fr.po git-gui/po/glossary/*);GPL-2+(git-gui/po/glossary/el.po git-gui/po/glossary/pt_br.po);GPL-2+(gitweb/static/js/*);Expat(git-p4);GPL-2+(git-svn.perl);GPL-2+(imap-send.c);GPL-2+(perl/Git.pm);GPL-1+ or Artistic-1(perl/private-Error.pm);GPL-2+(kwset.c kwset.h);Expat(khash.h);GPL-2+(trace.c);GPL-2+(sh-i18n--envsubst.c);GPL-2+(t/test-lib.sh);GPL-2+(t/test-lib-github-workflow-markup.sh t/test-lib-junit.sh);ISC(compat/inet_ntop.c compat/inet_pton.c);GPL-2+(compat/poll/poll.c compat/poll/poll.h);mingw-runtime(compat/vcbuild/include/sys/utime.h);Boost(compat/nedmalloc/*);dlmalloc(compat/nedmalloc/malloc.c.h);LGPL-2.1+(compat/regex/*);LGPL-2.1+(compat/obstack.c compat/obstack.h);Apache-2.0(contrib/persistent-https/*);GPL-2+(contrib/credential/gnome-keyring/git-credential-gnome-keyring.c);GPL-2+(contrib/hg-to-git/hg-to-git.py);GPL-2+(contrib/mw-to-git/git-*.perl contrib/mw-to-git/t/t*);GPL-2(debian/*), 0, 0, 0
glib-networking, 2.74.0-4, LGPL-2+ and LGPL-2.1+(*), 0, 0, 0
glib-networking-common, 2.74.0-4, LGPL-2+ and LGPL-2.1+(*), 0, 0, 0
glib-networking-services, 2.74.0-4, LGPL-2+ and LGPL-2.1+(*), 0, 0, 0
gnome-icon-theme, 3.12.0-5, GPL-2+(*);GPL-3+(debian/*), 0, 0, 0
gnu-efi, 3.0.15-1, BSD-3-clause-HP(*);BSD-2-clause-Intel(inc/* lib/*);BSD-3-clause-HP(lib/Makefile lib/x86_64/callwrap.c);Expat(inc/efipoint.h);BSD-4-clause-Intel(inc/protocol/efidbg.h inc/protocol/ia64/eficontext.h);BSD-2-clause-Linaro or GPL-2+(inc/aarch64/efibind.h inc/arm/efibind.h gnuefi/crt0-efi-arm.S gnuefi/crt0-efi-aarch64.S lib/aarch64/initplat.c lib/aarch64/math.c lib/arm/initplat.c lib/arm/math.c), 0, 0, 0
gnupg, 2.2.40-1.1+deb12u2, GPL-3+(*);GPL-3+(agent/command.c agent/command-ssh.c agent/gpg-agent.c common/homedir.c common/sysutils.c g10/mainproc.c);permissive(autogen.sh);permissive(common/gc-opt-flags.h common/i18n.h tools/clean-sat.c tools/no-libgcrypt.c);LGPL-2.1+(common/localename.c);Expat(dirmngr/dns.c dirmngr/dns.h);GPL-3+(doc/yat2m.c scd/app-geldkarte.c);GPL-3+ or BSD-3-clause(scd/ccid-driver.h scd/ccid-driver.c);LGPL-3+(tools/rfc822parse.c tools/rfc822parse.h);GPL-3+(tools/sockprox.c);RFC-Reference(doc/OpenPGP);TinySCHEME(tests/gpgscm/*);GPL-3+(debian/*);CC0-1.0(debian/org.gnupg.scdaemon.metainfo.xml), 0, 0, 0
gnupg-agent, 2.2.40-1.1+deb12u1, GPL-3+(*);GPL-3+(agent/command.c agent/command-ssh.c agent/gpg-agent.c common/homedir.c common/sysutils.c g10/mainproc.c);permissive(autogen.sh);permissive(common/gc-opt-flags.h common/i18n.h tools/clean-sat.c tools/no-libgcrypt.c);LGPL-2.1+(common/localename.c);Expat(dirmngr/dns.c dirmngr/dns.h);GPL-3+(doc/yat2m.c scd/app-geldkarte.c);GPL-3+ or BSD-3-clause(scd/ccid-driver.h scd/ccid-driver.c);LGPL-3+(tools/rfc822parse.c tools/rfc822parse.h);GPL-3+(tools/sockprox.c);RFC-Reference(doc/OpenPGP);TinySCHEME(tests/gpgscm/*);GPL-3+(debian/*);CC0-1.0(debian/org.gnupg.scdaemon.metainfo.xml), 0, 0, 0
gnupg-l10n, 2.2.40-1.1+deb12u2, GPL-3+(*);GPL-3+(agent/command.c agent/command-ssh.c agent/gpg-agent.c common/homedir.c common/sysutils.c g10/mainproc.c);permissive(autogen.sh);permissive(common/gc-opt-flags.h common/i18n.h tools/clean-sat.c tools/no-libgcrypt.c);LGPL-2.1+(common/localename.c);Expat(dirmngr/dns.c dirmngr/dns.h);GPL-3+(doc/yat2m.c scd/app-geldkarte.c);GPL-3+ or BSD-3-clause(scd/ccid-driver.h scd/ccid-driver.c);LGPL-3+(tools/rfc822parse.c tools/rfc822parse.h);GPL-3+(tools/sockprox.c);RFC-Reference(doc/OpenPGP);TinySCHEME(tests/gpgscm/*);GPL-3+(debian/*);CC0-1.0(debian/org.gnupg.scdaemon.metainfo.xml), 0, 0, 0
gnupg-utils, 2.2.40-1.1+deb12u1, GPL-3+(*);GPL-3+(agent/command.c agent/command-ssh.c agent/gpg-agent.c common/homedir.c common/sysutils.c g10/mainproc.c);permissive(autogen.sh);permissive(common/gc-opt-flags.h common/i18n.h tools/clean-sat.c tools/no-libgcrypt.c);LGPL-2.1+(common/localename.c);Expat(dirmngr/dns.c dirmngr/dns.h);GPL-3+(doc/yat2m.c scd/app-geldkarte.c);GPL-3+ or BSD-3-clause(scd/ccid-driver.h scd/ccid-driver.c);LGPL-3+(tools/rfc822parse.c tools/rfc822parse.h);GPL-3+(tools/sockprox.c);RFC-Reference(doc/OpenPGP);TinySCHEME(tests/gpgscm/*);GPL-3+(debian/*);CC0-1.0(debian/org.gnupg.scdaemon.metainfo.xml), 0, 0, 0
gnupg2, 2.2.40-1.1+deb12u1, GPL-3+(*);GPL-3+(agent/command.c agent/command-ssh.c agent/gpg-agent.c common/homedir.c common/sysutils.c g10/mainproc.c);permissive(autogen.sh);permissive(common/gc-opt-flags.h common/i18n.h tools/clean-sat.c tools/no-libgcrypt.c);LGPL-2.1+(common/localename.c);Expat(dirmngr/dns.c dirmngr/dns.h);GPL-3+(doc/yat2m.c scd/app-geldkarte.c);GPL-3+ or BSD-3-clause(scd/ccid-driver.h scd/ccid-driver.c);LGPL-3+(tools/rfc822parse.c tools/rfc822parse.h);GPL-3+(tools/sockprox.c);RFC-Reference(doc/OpenPGP);TinySCHEME(tests/gpgscm/*);GPL-3+(debian/*);CC0-1.0(debian/org.gnupg.scdaemon.metainfo.xml), 0, 0, 0
golang-1.19-go, 1.19.8-2, Go(*);X11(src/cmd/compile/internal/gc/gsubr.go src/cmd/internal/objabi/autotype.go src/cmd/internal/objabi/head.go src/cmd/internal/objabi/reloctype.go src/cmd/internal/objabi/symkind.go src/cmd/internal/obj/arm64/a.out.go src/cmd/internal/obj/arm64/asm7.go src/cmd/internal/obj/arm64/list7.go src/cmd/internal/obj/arm64/obj7.go src/cmd/internal/obj/arm/a.out.go src/cmd/internal/obj/arm/asm5.go src/cmd/internal/obj/arm/list5.go src/cmd/internal/obj/arm/obj5.go src/cmd/internal/obj/mips/a.out.go src/cmd/internal/obj/mips/asm0.go src/cmd/internal/obj/mips/list0.go src/cmd/internal/obj/mips/obj0.go src/cmd/internal/obj/ppc64/a.out.go src/cmd/internal/obj/ppc64/asm9.go src/cmd/internal/obj/ppc64/list9.go src/cmd/internal/obj/ppc64/obj9.go src/cmd/internal/obj/s390x/asmz.go src/cmd/internal/obj/s390x/a.out.go src/cmd/internal/obj/s390x/listz.go src/cmd/internal/obj/s390x/objz.go src/cmd/internal/obj/data.go src/cmd/internal/obj/ld.go src/cmd/internal/obj/link.go src/cmd/internal/obj/pass.go src/cmd/internal/obj/sym.go src/cmd/internal/obj/x86/a.out.go src/cmd/internal/obj/x86/asm6.go src/cmd/internal/obj/x86/list6.go src/cmd/internal/obj/x86/obj6.go src/cmd/link/internal/amd64/asm.go src/cmd/link/internal/amd64/l.go src/cmd/link/internal/amd64/obj.go src/cmd/link/internal/arm64/asm.go src/cmd/link/internal/arm64/l.go src/cmd/link/internal/arm64/obj.go src/cmd/link/internal/arm/asm.go src/cmd/link/internal/arm/l.go src/cmd/link/internal/arm/obj.go src/cmd/link/internal/ld/ar.go src/cmd/link/internal/ld/data.go src/cmd/link/internal/ld/ld.go src/cmd/link/internal/ld/lib.go src/cmd/link/internal/ld/link.go src/cmd/link/internal/ld/main.go src/cmd/link/internal/ld/sym.go src/cmd/link/internal/ld/symtab.go src/cmd/link/internal/mips/asm.go src/cmd/link/internal/mips/l.go src/cmd/link/internal/mips/obj.go src/cmd/link/internal/mips64/asm.go src/cmd/link/internal/mips64/l.go src/cmd/link/internal/mips64/obj.go src/cmd/link/internal/ppc64/asm.go src/cmd/link/internal/ppc64/l.go src/cmd/link/internal/ppc64/obj.go src/cmd/link/internal/s390x/asm.go src/cmd/link/internal/s390x/l.go src/cmd/link/internal/s390x/obj.go src/cmd/link/internal/sym/segment.go src/cmd/link/internal/sym/symbols.go src/cmd/link/internal/sym/symkind.go src/cmd/link/internal/x86/asm.go src/cmd/link/internal/x86/l.go src/cmd/link/internal/x86/obj.go src/cmd/vendor/golang.org/x/arch/x86/x86asm/testdata/libmach8db.c src/runtime/memclr_arm.s src/runtime/memmove_386.s src/runtime/memmove_amd64.s src/runtime/memmove_arm.s src/runtime/memmove_plan9_386.s src/runtime/memmove_plan9_amd64.s src/runtime/vlop_386.s src/runtime/vlop_arm.s src/runtime/vlrt.go);Go(src/debug/dwarf/testdata/typedef.macho src/debug/dwarf/testdata/typedef.elf);Go(src/debug/macho/testdata/fat-gcc* src/debug/macho/testdata/clang* src/debug/macho/testdata/gcc*);Go(src/debug/elf/testdata/*-exec src/debug/elf/testdata/*.obj src/debug/elf/testdata/hello-world-core.gz);FreeBSD(src/debug/elf/elf.go src/cmd/link/internal/ld/elf.go);Go(src/math/cmplx/asin.go src/math/cmplx/exp.go src/math/cmplx/log.go src/math/cmplx/pow.go src/math/cmplx/sin.go src/math/cmplx/sqrt.go src/math/cmplx/tan.go src/math/atan.go src/math/gamma.go src/math/sin.go src/math/tan.go src/math/tanh.go);Go(src/math/log1p.go src/math/acosh.go src/math/asinh.go src/math/atanh.go src/math/cbrt.go src/math/erf.go src/math/exp.go src/math/expm1.go src/math/j0.go src/math/j1.go src/math/jn.go src/math/lgamma.go src/math/log.go src/math/remainder.go src/math/sqrt.go);MPEG(src/image/jpeg/idct.go);noderivs(src/image/png/testdata/pngsuite/*);Apache-2.0(src/cmd/vendor/github.com/google/pprof/*);BSD-3-clause-svgpan(src/cmd/vendor/github.com/google/pprof/third_party/svgpan/svgpan.go);BSD-3-clause(misc/trace/*);Go(debian/*), 0, 0, 0
golang-1.19-src, 1.19.8-2, Go(*);X11(src/cmd/compile/internal/gc/gsubr.go src/cmd/internal/objabi/autotype.go src/cmd/internal/objabi/head.go src/cmd/internal/objabi/reloctype.go src/cmd/internal/objabi/symkind.go src/cmd/internal/obj/arm64/a.out.go src/cmd/internal/obj/arm64/asm7.go src/cmd/internal/obj/arm64/list7.go src/cmd/internal/obj/arm64/obj7.go src/cmd/internal/obj/arm/a.out.go src/cmd/internal/obj/arm/asm5.go src/cmd/internal/obj/arm/list5.go src/cmd/internal/obj/arm/obj5.go src/cmd/internal/obj/mips/a.out.go src/cmd/internal/obj/mips/asm0.go src/cmd/internal/obj/mips/list0.go src/cmd/internal/obj/mips/obj0.go src/cmd/internal/obj/ppc64/a.out.go src/cmd/internal/obj/ppc64/asm9.go src/cmd/internal/obj/ppc64/list9.go src/cmd/internal/obj/ppc64/obj9.go src/cmd/internal/obj/s390x/asmz.go src/cmd/internal/obj/s390x/a.out.go src/cmd/internal/obj/s390x/listz.go src/cmd/internal/obj/s390x/objz.go src/cmd/internal/obj/data.go src/cmd/internal/obj/ld.go src/cmd/internal/obj/link.go src/cmd/internal/obj/pass.go src/cmd/internal/obj/sym.go src/cmd/internal/obj/x86/a.out.go src/cmd/internal/obj/x86/asm6.go src/cmd/internal/obj/x86/list6.go src/cmd/internal/obj/x86/obj6.go src/cmd/link/internal/amd64/asm.go src/cmd/link/internal/amd64/l.go src/cmd/link/internal/amd64/obj.go src/cmd/link/internal/arm64/asm.go src/cmd/link/internal/arm64/l.go src/cmd/link/internal/arm64/obj.go src/cmd/link/internal/arm/asm.go src/cmd/link/internal/arm/l.go src/cmd/link/internal/arm/obj.go src/cmd/link/internal/ld/ar.go src/cmd/link/internal/ld/data.go src/cmd/link/internal/ld/ld.go src/cmd/link/internal/ld/lib.go src/cmd/link/internal/ld/link.go src/cmd/link/internal/ld/main.go src/cmd/link/internal/ld/sym.go src/cmd/link/internal/ld/symtab.go src/cmd/link/internal/mips/asm.go src/cmd/link/internal/mips/l.go src/cmd/link/internal/mips/obj.go src/cmd/link/internal/mips64/asm.go src/cmd/link/internal/mips64/l.go src/cmd/link/internal/mips64/obj.go src/cmd/link/internal/ppc64/asm.go src/cmd/link/internal/ppc64/l.go src/cmd/link/internal/ppc64/obj.go src/cmd/link/internal/s390x/asm.go src/cmd/link/internal/s390x/l.go src/cmd/link/internal/s390x/obj.go src/cmd/link/internal/sym/segment.go src/cmd/link/internal/sym/symbols.go src/cmd/link/internal/sym/symkind.go src/cmd/link/internal/x86/asm.go src/cmd/link/internal/x86/l.go src/cmd/link/internal/x86/obj.go src/cmd/vendor/golang.org/x/arch/x86/x86asm/testdata/libmach8db.c src/runtime/memclr_arm.s src/runtime/memmove_386.s src/runtime/memmove_amd64.s src/runtime/memmove_arm.s src/runtime/memmove_plan9_386.s src/runtime/memmove_plan9_amd64.s src/runtime/vlop_386.s src/runtime/vlop_arm.s src/runtime/vlrt.go);Go(src/debug/dwarf/testdata/typedef.macho src/debug/dwarf/testdata/typedef.elf);Go(src/debug/macho/testdata/fat-gcc* src/debug/macho/testdata/clang* src/debug/macho/testdata/gcc*);Go(src/debug/elf/testdata/*-exec src/debug/elf/testdata/*.obj src/debug/elf/testdata/hello-world-core.gz);FreeBSD(src/debug/elf/elf.go src/cmd/link/internal/ld/elf.go);Go(src/math/cmplx/asin.go src/math/cmplx/exp.go src/math/cmplx/log.go src/math/cmplx/pow.go src/math/cmplx/sin.go src/math/cmplx/sqrt.go src/math/cmplx/tan.go src/math/atan.go src/math/gamma.go src/math/sin.go src/math/tan.go src/math/tanh.go);Go(src/math/log1p.go src/math/acosh.go src/math/asinh.go src/math/atanh.go src/math/cbrt.go src/math/erf.go src/math/exp.go src/math/expm1.go src/math/j0.go src/math/j1.go src/math/jn.go src/math/lgamma.go src/math/log.go src/math/remainder.go src/math/sqrt.go);MPEG(src/image/jpeg/idct.go);noderivs(src/image/png/testdata/pngsuite/*);Apache-2.0(src/cmd/vendor/github.com/google/pprof/*);BSD-3-clause-svgpan(src/cmd/vendor/github.com/google/pprof/third_party/svgpan/svgpan.go);BSD-3-clause(misc/trace/*);Go(debian/*), 0, 0, 0
golang-any, 1.19~1, Go(*), 0, 0, 0
golang-dbus-dev, 5.1.0-1, BSD-2-clause(*);BSD-2-clause(debian/*), 0, 0, 0
golang-github-alecthomas-units-dev, 0.0~git20211218.b94a6e3-1, Expat(*);BSD-3-clause and Expat(util.go);Expat(debian/*), 0, 0, 0
golang-github-aws-aws-sdk-go-dev, 1.44.133-1, Apache-2.0(*);Expat and Apache-2.0(service/s3/s3crypto/pkcs7_padder.go);GPL-3+(debian/*);GPL-3+ or Apache-2.0(debian/patches/*), 0, 0, 0
golang-github-beevik-ntp-dev, 0.3.0-4, BSD-2-clause(*);BSD-2-clause(debian/*), 0, 0, 0
golang-github-beorn7-perks-dev, 1.0.1-1, Expat(*);Expat(debian/*), 0, 0, 0
golang-github-cespare-xxhash-dev, 2.1.1-2, Expat(*);Expat(debian/*), 0, 0, 0
golang-github-cilium-ebpf-dev, 0.9.1-1, Expat(*);BSD-3-clause(example_sock_extract_dist_test.go);Expat(debian/*), 0, 0, 0
golang-github-coreos-go-systemd-dev, 22.3.2-1, Apache-2.0(*);Apache-2.0(debian/*), 0, 0, 0
golang-github-davecgh-go-spew-dev, 1.1.1-3, ISC(*);ISC(debian/*), 0, 0, 0
golang-github-dennwc-btrfs-dev, 0.0~git20221026.3097362-1, Apache-2.0(*);Apache-2.0(debian/*), 0, 0, 0
golang-github-dennwc-ioctl-dev, 1.0.0+git20181021.0178042-2, Expat(*);Expat(debian/*), 0, 0, 0
golang-github-ema-qdisc-dev, 0.0~git20200603.62d0308-2, Expat(*);Expat(debian/*), 0, 0, 0
golang-github-go-kit-log-dev, 0.2.1-1, Expat(*);Expat(term/*);Expat(term/terminal_*.go);Expat(debian/*), 0, 0, 0
golang-github-go-logfmt-logfmt-dev, 0.5.0-2, Expat(*);Go(jsonstring.go);Expat(debian/*), 0, 0, 0
golang-github-golang-protobuf-1-3-dev, 1.3.5-4, BSD-3-Clause(*);BSD-3-Clause(debian/*), 0, 0, 0
golang-github-golang-protobuf-1-5-dev, 1.5.2-3, BSD-3-clause(*);BSD-3-clause(debian/*), 0, 0, 0
golang-github-google-go-cmp-dev, 0.5.9-1, BSD-3-clause(*);BSD-3-clause(debian/*), 0, 0, 0
golang-github-hashicorp-go-envparse-dev, 0.1.0-1, MPL-2.0(*);MPL-2.0(debian/*), 0, 0, 0
golang-github-hodgesds-perf-utils-dev, 0.5.1-2, Expat(*);Expat(debian/*), 0, 0, 0
golang-github-jmespath-go-jmespath-dev, 0.4.0-2, Apache-2.0(*);Apache-2.0(debian/*);Expat(internal/testify/*), 0, 0, 0
golang-github-josharian-native-dev, 1.1.0-1, Expat(*);Expat(debian/*), 0, 0, 0
golang-github-jpillora-backoff-dev, 1.0.0-1.1, Expat(*);Expat(debian/*), 0, 0, 0
golang-github-jsimonetti-rtnetlink-dev, 1.3.0-1, Expat(*);Expat(debian/*), 0, 0, 0
golang-github-json-iterator-go-dev, 1.1.12-1, Expat(*);Expat(debian/*), 0, 0, 0
golang-github-julienschmidt-httprouter-dev, 1.3.0-2, BSD-3-clause(*);BSD-3-clause(debian/*), 0, 0, 0
golang-github-mattn-go-xmlrpc-dev, 0.0.3-2, Expat(*);Expat(debian/*), 0, 0, 0
golang-github-mdlayher-ethtool-dev, 0.0~git20221212.d43b2a7-1, Expat(*);Expat(debian/*), 0, 0, 0
golang-github-mdlayher-genetlink-dev, 1.3.1-1, Expat(*);Expat(debian/*), 0, 0, 0
golang-github-mdlayher-netlink-dev, 1.7.1-1, Expat(*);BSD-3-clause(errors.go);Expat(debian/*), 0, 0, 0
golang-github-mdlayher-socket-dev, 0.4.0-1, Expat(*);BSD-3-clause(conn_test.go);Expat(debian/*), 0, 0, 0
golang-github-mdlayher-wifi-dev, 0.0~git20220330.a44c70b-1, Expat(*);Expat(debian/*), 0, 0, 0
golang-github-modern-go-concurrent-dev, 1.0.3-1.1, Apache-2.0(*);Apache-2.0(debian/*), 0, 0, 0
golang-github-modern-go-reflect2-dev, 1.0.2-2, Apache-2.0(*);Apache-2.0(debian/*), 0, 0, 0
golang-github-mwitkow-go-conntrack-dev, 0.0~git20190716.2f06839-3, Apache-2.0(*);Apache-2.0(debian/*), 0, 0, 0
golang-github-opencontainers-selinux-dev, 1.10.0+ds1-1, Apache-2.0(*);Apache-2.0(debian/*), 0, 0, 0
golang-github-pkg-errors-dev, 0.9.1-2, BSD-2-clause(*);BSD-2-clause(debian/*), 0, 0, 0
golang-github-pmezard-go-difflib-dev, 1.0.0-3, BSD-3-clause(*);BSD-3-clause(debian/*), 0, 0, 0
golang-github-prometheus-client-golang-dev, 1.14.0-3, Apache-2.0(*);Apache-2.0(debian/*), 0, 0, 0
golang-github-prometheus-client-model-dev, 0.3.0-3, Apache-2.0(*);Apache-2.0(debian/*), 0, 0, 0
golang-github-prometheus-common-dev, 0.39.0-2, Apache-2.0(*);BSD-3-clause(internal/bitbucket.org/ww/goautoneg/*);Apache-2.0(debian/*), 0, 0, 0
golang-github-prometheus-exporter-toolkit-dev, 0.8.2-2, Apache-2.0(*);Apache-2.0(web/cache.go web/handler.go);Apache-2.0(debian/*), 0, 0, 0
golang-github-prometheus-procfs-dev, 0.8.0-3-cl5.16.0u1, Apache-2.0(*);Apache-2.0(ttar);Apache-2.0(debian/*), 0, 0, 0
golang-github-safchain-ethtool-dev, 0.3.0-1, Apache-2.0(*);Apache-2.0(debian/*), 0, 0, 0
golang-github-soundcloud-go-runit-dev, 0.0~git20150630.06ad41a-3, Expat(*);Expat(debian/*), 0, 0, 0
golang-github-stretchr-objx-dev, 0.5.0-1, Expat(*);Apache-2.0(debian/*), 0, 0, 0
golang-github-stretchr-testify-dev, 1.8.1-1, Expat(*);Apache-2.0(debian/*), 0, 0, 0
golang-go, 1.19~1, Go(*), 0, 0, 0
golang-go.uber-atomic-dev, 1.10.0-2, Expat(*);Expat(debian/*), 0, 0, 0
golang-go.uber-multierr-dev, 1.6.0-1, Expat(*);Expat(debian/*), 0, 0, 0
golang-golang-x-crypto-dev, 0.4.0-1, BSD-3-Clause(*);BSD-3-Clause(debian/*), 0, 0, 0
golang-golang-x-net-dev, 0.7.0+dfsg-1, BSD-3-Clause(*);BSD-3-Clause(debian/*);CC-BY-3.0(html/testdata/go1.html);BSD-2-Clause(html/testdata/webkit/*);W3C(html/charset/testdata/*), 0, 0, 0
golang-golang-x-oauth2-dev, 0.3.0-1, BSD-3-clause(*);BSD-3-clause(debian/*), 0, 0, 0
golang-golang-x-sync-dev, 0.1.0-1, BSD-3-clause(*);BSD-3-clause(debian/*), 0, 0, 0
golang-golang-x-sys-dev, 0.3.0-1, BSD-3-clause(*);BSD-3-clause(debian/*), 0, 0, 0
golang-golang-x-term-dev, 0.3.0-1, BSD-3-clause(*);BSD-3-clause(debian/*), 0, 0, 0
golang-golang-x-text-dev, 0.7.0-1, BSD-3-Clause(*);BSD-3-Clause(debian/*), 0, 0, 0
golang-google-protobuf-dev, 1.28.1-3, BSD-3-clause(*);BSD-3-clause(debian/*);BSD-3-clause(internal/testprotos/benchmarks/benchmarks.pb.go internal/testprotos/benchmarks/datasets/* internal/testprotos/conformance/* types/descriptorpb/* types/known/* types/pluginpb/*), 0, 0, 0
golang-gopkg-alecthomas-kingpin.v2-dev, 2.2.6-4, Expat(*);Expat(debian/*), 0, 0, 0
golang-gopkg-yaml.v2-dev, 2.4.0-4, Apache-2.0(*);Apache-2.0(debian/*);Expat(apic.go emitterc.go parserc.go readerc.go scannerc.go writerc.go yamlh.go yamlprivateh.go), 0, 0, 0
golang-gopkg-yaml.v3-dev, 3.0.1-3, Apache-2.0(*);Apache-2.0(debian/*);Expat(apic.go emitterc.go parserc.go readerc.go scannerc.go writerc.go yamlh.go yamlprivateh.go), 0, 0, 0
golang-protobuf-extensions-dev, 1.0.1-3, Apache-2.0(*);BSD-3-Clause(testdata/*);Apache-2.0(debian/*), 0, 0, 0
golang-src, 1.19~1, Go(*), 0, 0, 0
google-mock, 1.12.1-0.2, BSD-C3(*);GAP(debian/*), 0, 0, 0
googletest, 1.12.1-0.2, BSD-C3(*);GAP(debian/*), 0, 0, 0
gpg, 2.2.40-1.1+deb12u2, GPL-3+(*);GPL-3+(agent/command.c agent/command-ssh.c agent/gpg-agent.c common/homedir.c common/sysutils.c g10/mainproc.c);permissive(autogen.sh);permissive(common/gc-opt-flags.h common/i18n.h tools/clean-sat.c tools/no-libgcrypt.c);LGPL-2.1+(common/localename.c);Expat(dirmngr/dns.c dirmngr/dns.h);GPL-3+(doc/yat2m.c scd/app-geldkarte.c);GPL-3+ or BSD-3-clause(scd/ccid-driver.h scd/ccid-driver.c);LGPL-3+(tools/rfc822parse.c tools/rfc822parse.h);GPL-3+(tools/sockprox.c);RFC-Reference(doc/OpenPGP);TinySCHEME(tests/gpgscm/*);GPL-3+(debian/*);CC0-1.0(debian/org.gnupg.scdaemon.metainfo.xml), 0, 0, 0
gpg-agent, 2.2.40-1.1+deb12u1, GPL-3+(*);GPL-3+(agent/command.c agent/command-ssh.c agent/gpg-agent.c common/homedir.c common/sysutils.c g10/mainproc.c);permissive(autogen.sh);permissive(common/gc-opt-flags.h common/i18n.h tools/clean-sat.c tools/no-libgcrypt.c);LGPL-2.1+(common/localename.c);Expat(dirmngr/dns.c dirmngr/dns.h);GPL-3+(doc/yat2m.c scd/app-geldkarte.c);GPL-3+ or BSD-3-clause(scd/ccid-driver.h scd/ccid-driver.c);LGPL-3+(tools/rfc822parse.c tools/rfc822parse.h);GPL-3+(tools/sockprox.c);RFC-Reference(doc/OpenPGP);TinySCHEME(tests/gpgscm/*);GPL-3+(debian/*);CC0-1.0(debian/org.gnupg.scdaemon.metainfo.xml), 0, 0, 0
gpg-wks-client, 2.2.40-1.1+deb12u1, GPL-3+(*);GPL-3+(agent/command.c agent/command-ssh.c agent/gpg-agent.c common/homedir.c common/sysutils.c g10/mainproc.c);permissive(autogen.sh);permissive(common/gc-opt-flags.h common/i18n.h tools/clean-sat.c tools/no-libgcrypt.c);LGPL-2.1+(common/localename.c);Expat(dirmngr/dns.c dirmngr/dns.h);GPL-3+(doc/yat2m.c scd/app-geldkarte.c);GPL-3+ or BSD-3-clause(scd/ccid-driver.h scd/ccid-driver.c);LGPL-3+(tools/rfc822parse.c tools/rfc822parse.h);GPL-3+(tools/sockprox.c);RFC-Reference(doc/OpenPGP);TinySCHEME(tests/gpgscm/*);GPL-3+(debian/*);CC0-1.0(debian/org.gnupg.scdaemon.metainfo.xml), 0, 0, 0
